2024-01-25 16:19:37 | INFO | __init__.py:2223 | Started!
2024-01-25 16:19:58 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:20:01 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account
2024-01-25 16:20:01 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:20:01 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:21:56 | INFO | __init__.py:2223 | Started!
2024-01-25 16:22:04 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:22:07 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account
2024-01-25 16:22:07 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:22:07 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:22:20 | INFO | __init__.py:2223 | Started!
2024-01-25 16:22:32 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:22:37 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account
2024-01-25 16:22:37 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:22:37 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:27:40 | INFO | __init__.py:2223 | Started!
2024-01-25 16:27:48 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:27:53 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account
2024-01-25 16:27:53 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:27:54 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:28:20 | INFO | __init__.py:2223 | Started!
2024-01-25 16:28:29 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:28:34 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account []
2024-01-25 16:28:34 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:28:34 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:30:27 | INFO | __init__.py:2223 | Started!
2024-01-25 16:30:39 | INFO | __init__.py:2223 | Started!
2024-01-25 16:31:06 | INFO | __init__.py:2223 | Started!
2024-01-25 16:31:08 | INFO | __init__.py:2223 | Started!
2024-01-25 16:31:19 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:31:24 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account []
2024-01-25 16:31:24 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:31:25 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:32:06 | INFO | __init__.py:2223 | Started!
2024-01-25 16:32:14 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:32:19 | INFO | __init__.py:2223 | [255300195] Can't locate available groups in account []
2024-01-25 16:32:19 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-25 16:32:20 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-25 16:32:38 | INFO | __init__.py:2223 | Started!
2024-01-25 16:32:49 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:32:57 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-25 16:33:35 | INFO | __init__.py:2223 | Started!
2024-01-25 16:33:44 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-25 16:33:54 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-25 16:34:08 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-25 16:34:23 | INFO | __init__.py:2223 | [255300195] Reposting to another group
