2024-01-26 22:14:28 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 22:14:30 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:14:38 | INFO | __init__.py:2223 | [255300195] Sending post to закладки1
2024-01-26 22:14:41 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:14:49 | INFO | __init__.py:2223 | [255300195] Sending post to Агрофирма Партнер
2024-01-26 22:32:08 | INFO | __init__.py:2223 | Started!
2024-01-26 22:32:12 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 22:32:16 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 22:32:18 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:32:26 | INFO | __init__.py:2223 | [255300195] Sending post to закладки1
2024-01-26 22:32:28 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:32:36 | INFO | __init__.py:2223 | [255300195] Sending post to Агрофирма Партнер
2024-01-26 22:34:52 | INFO | __init__.py:2223 | Started!
2024-01-26 22:34:56 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 22:35:01 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 22:35:03 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:55:13 | INFO | __init__.py:2223 | Started!
2024-01-26 22:55:17 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 22:55:21 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 22:55:23 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:55:32 | INFO | __init__.py:2223 | [255300195] Sending post to закладки1
2024-01-26 22:55:34 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:55:42 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 22:55:48 | INFO | __init__.py:2223 | [255300195] All groups added
2024-01-26 22:55:48 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-26 22:55:54 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-26 22:57:53 | INFO | __init__.py:2223 | Started!
2024-01-26 22:57:57 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 22:58:22 | INFO | __init__.py:2223 | Started!
2024-01-26 22:58:26 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 23:00:48 | INFO | __init__.py:2223 | Started!
2024-01-26 23:00:51 | INFO | __init__.py:2223 | Started!
2024-01-26 23:00:55 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 23:01:01 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 23:01:03 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:01:12 | INFO | __init__.py:2223 | [255300195] Sending post to закладки1
2024-01-26 23:01:14 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:01:23 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:01:29 | INFO | __init__.py:2223 | [255300195] All groups added
2024-01-26 23:01:29 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-26 23:01:35 | INFO | __init__.py:2223 | Done. Exiting...
2024-01-26 23:02:35 | INFO | __init__.py:2223 | Started!
2024-01-26 23:02:40 | INFO | __init__.py:2223 | [255300195] Одноклассники
2024-01-26 23:02:45 | INFO | __init__.py:2223 | [255300195] Sending post to закладки2
2024-01-26 23:02:47 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:02:57 | INFO | __init__.py:2223 | [255300195] Sending post to закладки1
2024-01-26 23:02:59 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:03:08 | INFO | __init__.py:2223 | [255300195] Reposting to another group
2024-01-26 23:03:14 | INFO | __init__.py:2223 | [255300195] All groups added
2024-01-26 23:03:14 | INFO | __init__.py:2223 | [255300195] Exiting...
2024-01-26 23:03:20 | INFO | __init__.py:2223 | Done. Exiting...
